x;x;x;x;x;x;35-29-42;48-44-66;48-44-66;35-29-42;35-29-43;35-29-44;35-29-45;35-29-46;35-29-47;35-29-48;35-29-49;35-29-50;35-29-42;48-44-76;35-29-42;x;x;x;x;x;x
x;x;x;x;x;x;x;35-29-42;48-44-74;35-29-42;x;x;x;x;x;x;x;35-29-42;48-44-74;35-29-42;x;x;x;x;x;x;x
x;x;x;x;x;x;x;35-29-42;48-44-74;35-29-42;x;x;x;x;x;x;x;35-29-42;48-44-74;35-29-42;x;x;x;x;x;x;x
x;x;x;x;x;35-29-48;35-29-48;x;35-29-42;35-29-42;x;x;x;x;x;x;x;35-29-42;35-29-42;x;35-29-48;35-29-48;x;x;x;x;x
x;x;x;x;35-29-48;x;x;35-29-48;x;35-29-42;35-29-42;x;x;x;x;x;35-29-42;35-29-42;x;35-29-48;x;x;35-29-48;x;x;x;x
x;x;x;35-29-48;x;x;35-29-48;x;x;x;x;35-29-42;35-29-43;35-29-44;35-29-45;35-29-46;x;x;x;x;35-29-48;x;x;35-29-48;x;x;x
x;x;35-29-48;x;x;35-29-48;x;x;x;x;35-29-55;x;x;x;x;x;35-29-58;x;x;x;x;35-29-48;x;x;35-29-48;x;x
x;35-29-48;x;x;35-29-48;x;x;x;x;35-29-55;35-29-56;x;35-29-58;x;35-29-58;x;35-29-58;35-29-58;x;x;x;x;35-29-48;x;x;35-29-48;x
x;35-29-49;x;35-29-48;x;x;x;35-29-46;x;35-29-55;35-29-57;35-29-57;35-29-58;35-29-59;35-29-60;35-29-58;35-29-58;35-29-58;x;35-29-57;x;x;x;35-29-48;x;35-29-49;x
x;35-29-50;x;35-29-48;x;x;x;35-29-47;x;35-29-55;35-29-58;x;x;35-29-58;x;x;35-29-58;35-29-58;x;35-29-58;x;x;x;35-29-48;x;35-29-50;x
x;35-29-51;x;35-29-48;35-29-48;35-29-48;35-29-48;35-29-48;x;x;35-29-55;x;x;x;x;x;35-29-58;x;x;35-29-59;35-29-48;35-29-48;35-29-48;35-29-48;x;35-29-51;x
x;35-29-52;x;35-29-48;x;x;x;35-29-49;x;x;x;x;x;x;x;x;x;x;x;35-29-60;x;x;x;35-29-48;x;35-29-52;x
x;35-29-53;x;35-29-48;x;x;x;35-29-50;35-29-53;35-29-54;35-29-55;35-29-56;35-29-57;35-29-58;35-29-59;35-29-60;35-29-61;35-29-62;35-29-63;35-29-61;x;x;x;35-29-48;x;35-29-53;x
x;35-29-54;x;35-29-48;x;x;x;35-29-51;x;x;x;35-29-56;x;x;x;35-29-56;x;x;x;35-29-62;x;x;x;35-29-48;x;35-29-54;x
x;35-29-55;x;35-29-48;x;x;x;35-29-52;x;x;x;35-29-56;x;x;x;35-29-56;x;x;x;35-29-63;x;x;x;35-29-48;x;35-29-55;x
x;35-29-56;x;x;35-29-48;x;x;35-29-53;35-29-53;35-29-54;35-29-55;35-29-56;35-29-57;35-29-58;35-29-59;35-29-60;35-29-61;35-29-62;35-29-63;35-29-64;x;x;35-29-48;x;x;35-29-56;x
x;35-29-57;x;x;x;35-29-48;35-29-48;35-29-54;x;35-29-54;x;x;x;x;x;x;x;35-29-54;x;35-29-65;35-29-48;35-29-48;x;x;x;35-29-57;x
x;35-29-58;x;x;x;x;x;35-29-55;x;x;35-29-54;x;x;x;x;x;35-29-54;x;x;35-29-66;x;x;x;x;x;35-29-58;x
x;35-29-59;x;x;x;x;x;35-29-56;x;x;x;35-29-54;x;x;x;35-29-54;x;x;x;35-29-67;x;x;x;x;x;35-29-59;x
x;35-29-60;x;x;x;x;x;35-29-57;x;x;x;x;35-29-54;35-29-54;35-29-54;x;x;x;x;35-29-68;x;x;x;x;x;35-29-60;x
x;35-29-61;x;x;x;x;x;35-29-46;35-29-47;35-29-48;35-29-49;35-29-50;35-29-51;x;35-29-52;35-29-53;35-29-54;35-29-55;35-29-56;35-29-69;x;35-29-58;x;x;x;35-29-61;x
x;35-29-62;x;x;x;x;35-29-63;35-29-46;48-44-63;48-44-64;48-44-65;48-44-66;35-29-52;x;35-29-53;48-44-63;48-44-64;48-44-65;48-44-66;35-29-58;35-29-58;x;35-29-58;35-29-58;x;35-29-62;x
x;35-29-63;x;x;35-29-63;35-29-63;x;35-29-46;48-44-63;48-44-64;48-44-65;48-44-66;35-29-52;x;35-29-54;48-44-63;48-44-64;48-44-65;48-44-66;35-29-58;x;x;x;x;35-29-58;35-29-63;x
x;x;35-29-63;35-29-63;x;x;35-29-46;48-44-62;48-44-63;48-44-64;48-44-65;48-44-66;35-29-52;x;35-29-55;48-44-62;48-44-63;48-44-64;48-44-65;48-44-66;35-29-58;x;x;x;x;x;x
x;x;x;x;x;x;35-29-46;35-29-47;35-29-48;35-29-49;35-29-50;35-29-51;35-29-52;x;35-29-56;35-29-53;35-29-54;35-29-55;35-29-56;35-29-57;35-29-58;x;x;x;x;x;x
x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
